"taxon","model","seed","AUCtrain","AUCtest","maxKappatrain","maxKappatest"
"Larix","GBM",4392,0.9457827512,0.9250366512,0.77096,0.72812
"Larix","MAXNET",4392,0.8842550304,0.888099264,0.617,0.63424
"Larix","GLM",4392,0.8899626816,0.8949013888,0.6424,0.65716
"Larix","GAM",6190,0.9066574512,0.900544976,0.68488,0.67004
"Larix","RF",6190,1,0.9590638912,1,0.783
"Larix","GBM",6190,0.9455549416,0.920745492,0.7708,0.71256
"Larix","MAXNET",6190,0.8863380016,0.8805180784,0.62784,0.61836
"Larix","GLM",6190,0.8916400832,0.8874041232,0.64924,0.63172
"Larix","GAM",6960,0.9068717568,0.8973250848,0.67964,0.6618
"Larix","RF",6960,0.9999998496,0.9538202624,0.99996,0.76652
"Larix","GBM",6960,0.9473144912,0.9174693496,0.77364,0.69352
"Larix","MAXNET",6960,0.887241992,0.8754095424,0.6386,0.61176
"Larix","GLM",6960,0.8921778704,0.8832917728,0.6428,0.63096
"Larix","GAM",8848,0.9060627488,0.9013659088,0.6708,0.66804
"Larix","RF",8848,1,0.9596742,1,0.78376
"Larix","GBM",8848,0.945836724,0.921380936,0.7722,0.7038
"Larix","MAXNET",8848,0.8882559584,0.8794018576,0.63868,0.62848
"Larix","GLM",8848,0.8914758944,0.8879591968,0.645,0.62952
"Picea","GAM",2037,0.9443941312,0.9328564056,0.76532,0.73592
"Picea","RF",2037,1,0.9607180184,1,0.79812
"Picea","GBM",2037,0.9795226112,0.949418932,0.8978,0.78316
"Picea","MAXNET",2037,0.9038884112,0.88741054,0.65336,0.617
"Picea","GLM",2037,0.930997496,0.924236252,0.7204,0.72432
"Picea","GAM",4392,0.9443347984,0.9316488848,0.75836,0.74044
"Picea","RF",4392,1,0.9665700856,1,0.81252
"Picea","GBM",4392,0.98012078,0.9531839312,0.897,0.7918
"Picea","MAXNET",4392,0.9103596528,0.8995438384,0.66748,0.62868
"Picea","GLM",4392,0.929925896,0.92213168,0.71648,0.70168
"Picea","GAM",6190,0.9439153264,0.928403272,0.76216,0.73084
"Picea","RF",6190,1,0.9591553832,1,0.78204
"Picea","GBM",6190,0.9796705032,0.9444873072,0.89048,0.77672
"Picea","MAXNET",6190,0.9153234288,0.9022332128,0.68596,0.64616
"Picea","GLM",6190,0.9319089712,0.9120407616,0.72988,0.68908
"Picea","GAM",6960,0.9413442704,0.9407520544,0.75824,0.764
"Picea","RF",6960,0.99999996,0.9602643424,0.99992,0.80564
"Picea","GBM",6960,0.9786133528,0.9531270904,0.89636,0.80096
"Picea","MAXNET",6960,0.9018523008,0.9059645472,0.64604,0.69108
"Picea","GLM",6960,0.926830704,0.9336684512,0.71264,0.73544
"Picea","GAM",8848,0.9430987696,0.932793896,0.76408,0.7282
"Picea","RF",8848,1,0.951219736,1,0.78176
"Picea","GBM",8848,0.9798062328,0.9444644048,0.89696,0.77364
"Picea","MAXNET",8848,0.9182650208,0.907213112,0.69152,0.66108
"Picea","GLM",8848,0.9288075584,0.9262378768,0.7216,0.71528
"Pinus","GAM",2037,0.9381573272,0.9356395376,0.7254,0.7192
"Pinus","RF",2037,0.9999976744,0.968349788,0.99956,0.805
"Pinus","GBM",2037,0.9585055552,0.9494685536,0.78632,0.7534
"Pinus","MAXNET",2037,0.9379094024,0.9355337568,0.72448,0.72012
"Pinus","GLM",2037,0.9275449688,0.9250302544,0.70364,0.70508
"Pinus","GAM",4392,0.9377699856,0.9361088784,0.72324,0.7156
"Pinus","RF",4392,0.999999504,0.9664237552,0.99956,0.79924
"Pinus","GBM",4392,0.9591002608,0.9495587976,0.7852,0.7538
"Pinus","MAXNET",4392,0.9356176832,0.9347618416,0.7178,0.71644
"Pinus","GLM",4392,0.9266630896,0.9257168528,0.70532,0.70764
"Pinus","GAM",6190,0.9391139968,0.9343560848,0.729,0.71608
"Pinus","RF",6190,0.9999980192,0.9657111104,0.99944,0.79836
"Pinus","GBM",6190,0.9595875656,0.9470180696,0.785,0.74732
"Pinus","MAXNET",6190,0.9383126544,0.9334629168,0.72508,0.7128
"Pinus","GLM",6190,0.9282833488,0.9245013664,0.70756,0.70084
"Pinus","GAM",6960,0.9378100192,0.9370938888,0.7228,0.72208
"Pinus","RF",6960,0.9999975536,0.9677133552,0.99952,0.80076
"Pinus","GBM",6960,0.9582300696,0.9485073824,0.78132,0.75344
"Pinus","MAXNET",6960,0.9369158864,0.9357635512,0.71348,0.71792
"Pinus","GLM",6960,0.9275033952,0.9264222712,0.70436,0.70536
"Pinus","GAM",8848,0.9391403264,0.9344748384,0.72288,0.7168
"Pinus","RF",8848,0.9999978896,0.9658426136,0.99944,0.79672
"Pinus","GBM",8848,0.95986426,0.9468665328,0.78632,0.75024
"Pinus","MAXNET",8848,0.9391218528,0.9346362528,0.72164,0.71276
"Pinus","GLM",8848,0.927742808,0.9243274848,0.70588,0.69792
"PopLirio","GAM",2037,0.7424080552,0.7410084928,0.3528,0.375
"PopLirio","RF",2037,0.9999993224,0.8603913104,0.99988,0.55776
"PopLirio","GBM",2037,0.8705924032,0.8042165376,0.58828,0.46728
"PopLirio","MAXNET",2037,0.6651676344,0.6568511248,0.25388,0.23048
"PopLirio","GLM",2037,0.6860058616,0.7008455488,0.28,0.29828
"PopLirio","GAM",4392,0.7414701424,0.7380761552,0.35504,0.35676
"PopLirio","RF",4392,0.9999998096,0.8465322176,0.99996,0.51712
"PopLirio","GBM",4392,0.8747348464,0.7940575712,0.58856,0.44528
"PopLirio","MAXNET",4392,0.6742952352,0.6636714416,0.28516,0.2488
"PopLirio","GLM",4392,0.6876167072,0.6845767552,0.28064,0.2738
"PopLirio","GAM",6190,0.7459828432,0.7380455144,0.3614,0.36452
"PopLirio","RF",6190,0.9999997392,0.8583960272,0.99996,0.53836
"PopLirio","GBM",6190,0.8741433752,0.7977347648,0.58976,0.4534
"PopLirio","MAXNET",6190,0.6756214768,0.6859914392,0.2898,0.30088
"PopLirio","GLM",6190,0.688874544,0.6963969432,0.27976,0.30824
"PopLirio","GAM",6960,0.7435816872,0.7322626816,0.35564,0.3544
"PopLirio","RF",6960,0.999999548,0.8480308592,0.99992,0.50936
"PopLirio","GBM",6960,0.8720006008,0.7940013832,0.59132,0.45184
"PopLirio","MAXNET",6960,0.6748108248,0.6616055024,0.27848,0.25836
"PopLirio","GLM",6960,0.6873161912,0.6849569344,0.27504,0.29248
"PopLirio","GAM",8848,0.7441466736,0.7218929184,0.35676,0.3292
"PopLirio","RF",8848,1,0.8425943016,1,0.51116
"PopLirio","GBM",8848,0.8734002952,0.7905758056,0.58784,0.43252
