dataset,tname,Level2,Species
IL,slippery elm,Ulmus,Ulmus
IL,swamp elm,Ulmus,Ulmus
IL,swp elm,Ulmus,Ulmus
IL,w elm,Ulmus,Ulmus
IL,white elm,Ulmus,Ulmus
IN,(?) Elm,Ulmus,Ulmus
IN,Allum,Ulmus,Ulmus
IN,b elm,Ulmus,Ulmus
IN,Bitter Elm,Ulmus,Ulmus
IN,Elm,Ulmus,Ulmus
IN,elm bush,Ulmus,Ulmus
IN,fkd elm,Ulmus,Ulmus
IN,forked Elm,Ulmus,Ulmus
IN,H elm,Ulmus,Ulmus
IN,H. Elm,Ulmus,Ulmus
IN,Hic Elm,Ulmus,Ulmus
IN,hick elm,Ulmus,Ulmus
IN,hickory elm,Ulmus,Ulmus
IN,hicky elm,Ulmus,Ulmus
IN,hicky-elm,Ulmus,Ulmus
IN,r elm,Ulmus,Ulmus
IN,R. Elm,Ulmus,Ulmus
IN,R. Haw,Ulmus,Ulmus
IN,Red Elm,Ulmus,Ulmus
IN,Red Haw,Ulmus,Ulmus
IN,s elm,Ulmus,Ulmus
IN,s. elm,Ulmus,Ulmus
IN,slippery elm,Ulmus,Ulmus
IN,Swp Elm,Ulmus,Ulmus
IN,Swp. Elm,Ulmus,Ulmus
IN,w elm,Ulmus,Ulmus
IN,W Gum,Ulmus,Ulmus
IN,W. Elm,Ulmus,Ulmus
IN,Wh Elm,Ulmus,Ulmus
IN,Whi Elm,Ulmus,Ulmus
IN,white elm,Ulmus,Ulmus
IN,White Gum,Ulmus,Ulmus
NMI,EL,Ulmus,Ulmus
OH,elm,Ulmus,Ulmus
OH,red elm,Ulmus,Ulmus
SEMI,Elm,Ulmus,Ulmus
SEMI,Red Haw tree,Ulmus,Ulmus
SMI,blm,Ulmus,Ulmus
SMI,ELM,Ulmus,Ulmus
SMI,eln,Ulmus,Ulmus
SMI,em,Ulmus,Ulmus
SMI,r.elm,Ulmus,Ulmus
SMI,relm,Ulmus,Ulmus
WI,AE,Ulmus,Ulmus
WI,EL,Ulmus,Ulmus
WI,ES,Ulmus,Ulmus
WI,LE,Ulmus,Ulmus
WI,RE,Ulmus,Ulmus
WI,RK,Ulmus,Ulmus
WI,SE,Ulmus,Ulmus
WI,WE,Ulmus,Ulmus
IL,88888,unk,unk
IL,99999,unk,unk
IL,88888 nut,unk,unk
IL,b,unk,unk
IL,b 88888,unk,unk
IL,black,unk,unk
IL,black 88888,unk,unk
IL,bottom tree,unk,unk
IL,h sours,unk,unk
IL,h. saures,unk,unk
IL,hon sours,unk,unk
IL,Other hardwood,unk,unk
IL,precon,unk,unk
IL,red,unk,unk
IL,s tree,unk,unk
IL,sc. species,unk,unk
IL,tree,unk,unk
IL,Unknown tree,unk,unk
IL,w,unk,unk
IL,w (99999),unk,unk
IL,w 88888,unk,unk
IL,w 99999,unk,unk
IL,w.,unk,unk
IL,w. (88888),unk,unk
IL,white,unk,unk
IL,,unk,unk
IN,88888,unk,unk
IN,99999,unk,unk
IN,b,unk,unk
IN,B 99999,unk,unk
IN,B G,unk,unk
IN,b.,unk,unk
IN,B. tree,unk,unk
IN,black,unk,unk
IN,black 99999,unk,unk
IN,E,unk,unk
IN,Other hardwood,unk,unk
IN,Packawn,unk,unk
IN,Precon,unk,unk
IN,Scrub,unk,unk
IN,Unknown tree,unk,unk
IN,W,unk,unk
IN,W ____,unk,unk
IN,w 99999,unk,unk
IN,W.,unk,unk
IN,White ___,unk,unk
IN,white 99999,unk,unk
NMI,AM,unk,unk
NMI,GB,unk,unk
NMI,WD,unk,unk
NMI,XX,unk,unk
NMI,zron,unk,unk
NMI,,unk,unk
SEMI,88888,unk,unk
SEMI,b,unk,unk
SEMI,Other hardwood,unk,unk
SEMI,Unknown tree,unk,unk
SMI,9999,unk,unk
SMI,creek,unk,unk
SMI,w,unk,unk
SMI,wd,unk,unk
SMI,,unk,unk
WI,0,unk,unk
WI,XA,unk,unk
WI,XB,unk,unk
WI,,unk,unk
IN,p ash,Zanthoxylum,Zanthoxylum
IN,P. ash,Zanthoxylum,Zanthoxylum
IN,p.ash,Zanthoxylum,Zanthoxylum
WI,PA,Zanthoxylum,Zanthoxylum
