"site","COVERTYPE","LRU2","drain","chem","text","form","ntrees","prop","Pinus","Tsuga","Fagus","Acer","Tilia","Carya","Quercus","Ulmus","Fraxinus","Larix","Thuja","Picea","Abies","PopLirio","Betula","Aesculus","Alnus","Castanea","Celtis","Cercis","Cornus","Crataegus","Cupressaceae","Juglans","Morus","NyssaLiquidambar","OstryaCarpinus","Platanus","Prunus","RobiniaGleditsia","Salix","Sassafras","rarea"
"96B moist dysic sandy plains","MIXED HARDWOOD SWAMP","96B","moist","dysic","sandy","plains",29,2.5,10.3,34.5,10.3,13.8,0,0,0,3.4,3.4,0,0,0,0,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
"96B dry super spodic sandy plains","CEDAR SWAMP","96B","dry","super spodic","sandy","plains",4,3,0,0,0,0,0,0,0,0,75,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"96B wet dysic mucky plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","wet","dysic","mucky","plains",6,11.1,0,0,50,16.7,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4
"96B dry spodic sandy plains","HEMLOCK-WHITE PINE FOREST","96B","dry","spodic","sandy","plains",168,8.4,15.5,29.2,28,9.5,0,0,13.1,0,0.6,0,0,1.2,0,1.2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1
"96B moist typic clayey plains","MIXED CONIFER SWAMP","96B","moist","typic","clayey","plains",22,7.5,9.1,9.1,27.3,0,0,0,0,0,0,27.3,4.5,9.1,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4
"96B moist typic clayey plains","CEDAR SWAMP","96B","moist","typic","clayey","plains",6,2,0,0,33.3,0,0,0,0,0,16.7,0,33.3,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
"96B wet typic alluvial floodplain","CEDAR SWAMP","96B","wet","typic","alluvial","floodplain",64,20.4,4.7,10.9,4.7,12.5,3.1,0,0,3.1,17.2,1.6,39.1,0,1.6,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7
"96B moist euic sandy plains","MIXED HARDWOOD SWAMP","96B","moist","euic","sandy","plains",24,5.1,0,16.7,25,8.3,4.2,0,4.2,4.2,25,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,5.7
"96B moist dysic sandy plains","WHITE PINE-RED PINE FOREST","96B","moist","dysic","sandy","plains",53,4.6,49.1,7.5,5.7,15.1,0,0,11.3,0,3.8,0,3.8,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1
"96B moist typic loamy plains","MIXED HARDWOOD SWAMP","96B","moist","typic","loamy","plains",6,1.1,0,16.7,0,0,0,0,0,16.7,33.3,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
"96B dry spodic sandy plains","MIXED HARDWOOD SWAMP","96B","dry","spodic","sandy","plains",6,0.3,0,16.7,16.7,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
"96B dry typic sandy plains","MIXED HARDWOOD SWAMP","96B","dry","typic","sandy","plains",8,0.2,25,0,62.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"96B moist typic alluvial floodplain","MIXED HARDWOOD SWAMP","96B","moist","typic","alluvial","floodplain",34,12.7,8.8,11.8,14.7,5.9,0,2.9,14.7,8.8,8.8,0,2.9,0,0,5.9,5.9,0,0,0,0,0,0,0,0,5.9,0,0,2.9,0,0,0,0,0,6.7
"96B wet typic clayey plains","HEMLOCK-WHITE PINE FOREST","96B","wet","typic","clayey","plains",2,1.2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
"96B wet dysic mucky plains","MIXED CONIFER SWAMP","96B","wet","dysic","mucky","plains",17,31.5,29.4,17.6,5.9,0,0,0,0,0,0,5.9,11.8,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,27.6
"96B wet euic sandy plains","MIXED CONIFER SWAMP","96B","wet","euic","sandy","plains",60,36.1,8.3,28.3,11.7,11.7,1.7,0,0,6.7,13.3,10,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,20.3
"96B wet dysic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","wet","dysic","sandy","plains",14,29.2,0,28.6,28.6,28.6,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4
"96B wet euic sandy plains","CEDAR SWAMP","96B","wet","euic","sandy","plains",24,14.5,8.3,12.5,0,8.3,4.2,0,0,0,16.7,12.5,29.2,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4
"96B dry spodic sandy slopes","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","spodic","sandy","slopes",62,37.3,3.2,6.5,59.7,16.1,3.2,0,3.2,1.6,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,39
"96B moist typic loamy plains","CEDAR SWAMP","96B","moist","typic","loamy","plains",26,4.9,3.8,19.2,0,11.5,0,0,0,3.8,7.7,3.8,42.3,3.8,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
"96B wet euic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","wet","euic","sandy","plains",30,18.1,0,36.7,56.7,3.3,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
"96B wet typic clayey plains","WHITE PINE-MIXED HARDWOOD FOREST","96B","wet","typic","clayey","plains",16,9.8,18.8,12.5,31.2,12.5,0,0,6.2,0,6.2,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,2.2
"96B moist euic sandy plains","CEDAR SWAMP","96B","moist","euic","sandy","plains",8,1.7,0,25,12.5,0,0,0,0,0,0,12.5,37.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
"96B wet euic mucky plains","BLACK ASH SWAMP","96B","wet","euic","mucky","plains",18,5.2,0,22.2,0,5.6,0,0,0,0,55.6,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
"96B moist typic loamy plains","BLACK ASH SWAMP","96B","moist","typic","loamy","plains",8,1.5,12.5,0,50,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
"96B dry typic sandy plains","MIXED CONIFER SWAMP","96B","dry","typic","sandy","plains",53,1.1,39.6,13.2,3.8,7.5,0,0,13.2,1.9,3.8,9.4,1.9,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,1.1
"96B moist euic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","96B","moist","euic","sandy","plains",80,17.1,11.2,12.5,40,17.5,0,0,3.8,2.5,5,0,1.2,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16.2
"96B wet euic mucky plains","MIXED CONIFER SWAMP","96B","wet","euic","mucky","plains",95,27.7,5.3,16.8,3.2,2.1,2.1,0,0,3.2,8.4,34.7,20,3.2,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3
"96B wet typic clayey plains","MIXED HARDWOOD SWAMP","96B","wet","typic","clayey","plains",18,11,11.1,22.2,16.7,16.7,0,0,0,22.2,5.6,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
"96B moist euic mucky plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","moist","euic","mucky","plains",16,15.7,0,18.8,43.8,0,0,0,0,6.2,12.5,0,12.5,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7
"96B moist dysic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","96B","moist","dysic","sandy","plains",137,12,13.1,7.3,46,19.7,0,0,5.1,0,2.2,1.5,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,13.3
"96B dry spodic sandy plains","MIXED CONIFER SWAMP","96B","dry","spodic","sandy","plains",24,1.2,20.8,16.7,25,16.7,4.2,0,4.2,4.2,0,0,4.2,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
"96B wet euic mucky plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","wet","euic","mucky","plains",34,9.9,2.9,29.4,23.5,8.8,0,0,0,8.8,5.9,0,5.9,8.8,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8
"96B dry typic mucky plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","typic","mucky","plains",8,30.8,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5
"96B dry spodic sandy plains","CEDAR SWAMP","96B","dry","spodic","sandy","plains",20,1,10,30,20,5,0,0,0,0,10,5,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
"96B dry spodic sandy plains","BLACK ASH SWAMP","96B","dry","spodic","sandy","plains",8,0.4,0,12.5,50,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"96B dry typic loamy plains","MIXED CONIFER SWAMP","96B","dry","typic","loamy","plains",23,2.7,13,13,13,0,0,0,0,0,0,21.7,8.7,13,0,13,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
"96B moist typic alluvial floodplain","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","moist","typic","alluvial","floodplain",96,36,2.1,32.3,34.4,11.5,2.1,0,0,8.3,1,0,3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1,0,1,0,0,0,38.1
"96B moist typic alluvial floodplain","CEDAR SWAMP","96B","moist","typic","alluvial","floodplain",22,8.2,4.5,13.6,31.8,4.5,0,0,4.5,0,13.6,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
"96B wet euic sandy plains","BLACK ASH SWAMP","96B","wet","euic","sandy","plains",4,2.4,0,25,25,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
"96B dry typic clayey plains","BLACK ASH SWAMP","96B","dry","typic","clayey","plains",3,1.2,0,0,66.7,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
"96B wet typic clayey plains","LAKE/RIVER","96B","wet","typic","clayey","plains",37,22.7,13.5,18.9,27,5.4,0,0,8.1,0,16.2,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,2.7,0,57.3
