"site","COVERTYPE","LRU2","drain","chem","text","form","ntrees","prop","Abies","Acer","Aesculus","Alnus","Betula","Carya","Castanea","Celtis","Cercis","Cornus","Crataegus","Cupressaceae","Fagus","Fraxinus","Juglans","Larix","Morus","NyssaLiquidambar","OstryaCarpinus","Picea","Pinus","Platanus","PopLirio","Prunus","Quercus","RobiniaGleditsia","Salix","Sassafras","Thuja","Tilia","Tsuga","Ulmus"
"94C dry typic sandy plains","WHITE PINE-RED PINE FOREST","94C","dry","typic","sandy","plains",105,23.3,0,4.8,0,0,1.9,0,0,0,0,0,0,0,1,1,0,2.9,0,0,0,1.9,72.4,0,2.9,0,3.8,0,0,0,2.9,0,3.8,1
"94C wet euic mucky plains","MIXED CONIFER SWAMP","94C","wet","euic","mucky","plains",470,42,4.3,1.3,0,0.2,5.3,0,0,0,0,0,0,0,1.9,4.3,0,33.4,0,0,0.2,7.2,5.5,0,1.9,0,0.2,0,0,0,29.6,0.2,4.5,0
"94C wet euic sandy plains","MIXED CONIFER SWAMP","94C","wet","euic","sandy","plains",127,36.1,1.6,2.4,0,0,6.3,0,0,0,0,0,0,0,7.1,2.4,0,27.6,0,0,0,6.3,7.9,0,5.5,0,0,0,0.8,0,26,0,6.3,0
"94C moist dysic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94C","moist","dysic","sandy","plains",201,30.3,1,18.9,0,0,5,0,0,0,0,0,0,0,31.8,3,0,3,0,0,0,1,3.5,0,2.5,0,1.5,0,0,0,6.5,2.5,17.9,2
"94C dry spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94C","dry","spodic","sandy","plains",675,50.8,0.4,22.1,0,0,4.1,0,0,0,0,0,0,0,37,0.6,0,1.3,0,0,0.1,0.6,5.6,0,0.9,0.1,0.6,0,0,0,4,1.9,19.4,1
"94C wet euic mucky plains","CEDAR SWAMP","94C","wet","euic","mucky","plains",552,49.3,3.6,1.6,0,0,3.4,0,0,0,0,0,0,0,3.6,3.4,0,16.1,0,0,0,4.7,4.5,0,1.1,0,0,0,0,0,50.4,0,7.2,0.2
"94C moist typic loamy plains","CEDAR SWAMP","94C","moist","typic","loamy","plains",419,30,2.9,7.2,0,0,7.6,0,0,0,0,0,0,0,5.3,5.5,0,5,0,0,0.2,2.4,8.6,0,2.1,0,0,0,0,0,39.6,1,10.3,2.4
"94C moist typic loamy plains","MIXED CONIFER SWAMP","94C","moist","typic","loamy","plains",169,12.1,3.6,1.8,0,0,4.1,0,0,0,0,0,0,0,3,1.8,0,22.5,0,0,0,4.7,16,0,9.5,0,0,0,0.6,0,25.4,0.6,5.3,1.2
"94C dry super spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94C","dry","super spodic","sandy","plains",107,68.6,1.9,21.5,0,0,6.5,0,0,0,0,0,0,0,35.5,0.9,0,0.9,0,0,0.9,0.9,0,0,1.9,0.9,0,0,0,0,1.9,1.9,23.4,0.9
"94C moist dysic sandy plains","CEDAR SWAMP","94C","moist","dysic","sandy","plains",110,16.6,3.6,5.5,0,0,7.3,0,0,0,0,0,0,0,4.5,0.9,0,9.1,0,0,0,5.5,5.5,0,1.8,0.9,0,0,0.9,0,40.9,0,13.6,0
"94C wet typic loamy plains","CEDAR SWAMP","94C","wet","typic","loamy","plains",291,45.5,2.1,2.7,0,0,2.4,0,0,0,0,0,0,0,3.4,6.5,0,9.6,0,0,0,3.4,3.4,0,3.4,0,0.3,0,0,0,50.5,0,10.7,1.4
"94C dry typic sandy plains","JACK PINE-RED PINE FOREST","94C","dry","typic","sandy","plains",208,46.2,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,1.4,91.3,0,0.5,0,1,0,0,0,1.4,0,0,0
"94C dry spodic sandy plains","WHITE PINE-RED PINE FOREST","94C","dry","spodic","sandy","plains",195,14.7,0,1,0,0,1,0,0,0,0,0,0,0,2.6,0,0,0.5,0,0,0.5,0,79,0,3.1,0,5.1,0,0,0,4.6,0,2.6,0
