"ESD","ID","Abies","Acer","Betula","Carya","Fagus","Fraxinus","Larix","Picea","Pinus","PopLirio","Quercus","Thuja","Tilia","Tsuga","Ulmus","Basswood","Elm","Hemlock","Hickory","Oak","Pine","Tamarack","Whitecedar","p","m","e","s","d","Twh","Tw","Tc","Tcl","Tg","Tg30","Bhs","carbdepth","clay150","floodfrq","histic","humic","humicdepth","hydric","ksatdepth","OM150","pH50","rockdepth","sand150","sand50","spodic","watertable","elev","slope","aspect","slope500","shade","popen","nopen","solar","LRU","spptotal","ES"
"97B Moist Floodplain Plains",2537,0,0.23977555334568,0.0234333332628012,0.152267647286256,0.227765714128812,0.294438362121582,0.075224444270134,0,0.120847823719184,0.142839998006821,0.590668241182963,0.00131841267769535,0.116748889287313,0.00410444448546817,0.177113331854343,0.00519999985893567,0,0,0.384105198085308,0.0136000006459653,0,0.572533353309458,0,963.902852376302,0.614896734555562,603.722880045573,0.389791518449783,0.0256743089606365,28.2692832946777,23.2960739135742,-3.77028290430705,-7.6074693997701,18.7530008951823,18.7695592244466,0,182.925928751628,11.5196297168732,0.296296300987403,0,0.296296300987403,25.0910487969716,0.296296300987403,207.296295166016,0.603580261270205,4.54385189215342,250,37.1729628245036,36.6344437599182,0,40.7407404581706,181.422861735026,0.0517723485827446,2.28291533390681,0.015357360864679,0.784374376138051,1.52511088053385,1.55132766564687,3.76716717084249,NA,0.975438551899667,NA
"97B Moist Loam Plains",2332.58620689655,0.000372413810792154,0.0506366542861636,0.0459228138567816,0.0681606988936406,0.0499527577214457,0.0743420747076643,0.030179889021634,0.00159112643651215,0.0830572755477423,0.0550022149008924,0.212566108218041,0.00983854712454747,0.0325837349438847,0.0140177014540752,0.0607653645927022,0.000634482772699718,0.000234482769758023,0.00115862072060077,0.0409087409136881,0.206232723081484,0.430836048627529,0.282799998555204,0.0347310344945511,979.181236530172,0.616131067276001,610.261009479391,0.387297411417139,0.01666614120056,28.5273989315691,23.7392117072796,-3.76473769648322,-7.58425107495538,19.1204363066575,19.1194085088269,0,235.171042606748,20.2035874827155,0,0.00134099608865278,0.0990118982976881,5.92200269986843,0.0204980848678227,200.380281727889,0.536371613884794,3.76555752959745,250,9.70459785132573,9.86484924678145,0,49.4996468774204,184.29997463884,0.00556241873985935,2.59146879870316,0.00544283982840013,0.784845611144756,1.56514272607606,1.56357834256929,3.82729143931948,NA,0.997536131935515,NA
"97B Rich Sand Plains",3343.5,0.000100000004749745,0.188544525532052,0.0127666661865078,0.170638331212103,0.123588096350431,0.132126668468118,0.0381159810931422,0,0.235484381730203,0.24139865860343,0.858441218733788,0.00020000000949949,0.10320547549054,0.0103115701931529,0.108106880448759,0.000700000033248216,0.00130000000353903,0,0.258200005628169,0.498399994103238,0.00229999987641349,0.207700001541525,0.000100000004749745,977.048965454102,0.615508198738098,610.389175415039,0.390065744519234,0.0235515914391726,28.2423448562622,23.1918811798096,-3.70489895343781,-7.61954724788666,18.7159881591797,18.717616558075,0,250,3.11555552482605,0,0,0,25.111111164093,0,250,0.569722227752209,5.8730001449585,250,90.1600017547607,88.8000011444092,0,214.351848602295,188.541469573975,0.0159206605749205,4.43249464035034,0.00925319595262408,0.773959651589394,1.55967810750008,1.56006971001625,3.80569267272949,NA,0.968700001190882,NA
"97B Wet Loam Plains",2149.66666666667,8.88888931108846e-05,0.0531571223917935,0.024178616831907,0.149274849229389,0.0794347135557069,0.117524981498718,0.0686350671781434,0,0.0106152043703737,0.0672277468774054,0.439199757244852,0.000786914431955665,0.0324674031386773,0.000226666678726259,0.0976565869318114,0.00102222227077517,8.88888931108846e-05,0.000133333339666327,0.100209790359562,0.239109331716059,0.00235555553808808,0.62981024172364,0,983.093844943576,0.610323852962918,627.691969129774,0.374907890955607,0.0209681344115072,28.8138207329644,23.5049593183729,-3.94931981298659,-8.01140795813667,18.923807144165,18.9304837120904,0,122.372223324246,24.6534282896254,0,0.0388888882266151,0.603086425198449,43.2936214870877,0.864197538958655,93.8318922254774,4.41221188174354,5.18272585339016,250,10.6360103819105,9.357864273919,0,21.6049380832248,186.311737060547,0.0104764045552454,2.51741165584988,0.00845379930817419,0.78861544529597,1.5584964354833,1.56091337733799,3.84099136458503,NA,0.972729363840901,NA
"98A Acidic Peat Plains",1736.33333333333,0.000311111125888096,0.0903442435794407,0.0629300423380401,0.103600870403979,0.0690859261279305,0.272277414798737,0.466830965545442,0.00395555558821393,0.0306201459219058,0.139525041811996,0.550139533148872,0.0208944442888929,0.0734842806640598,0.00460518522757209,0.214406043291092,0.000755555565572447,0.00288888884501325,0.000266666679332654,0.00257777779673537,0.0151999997130285,0.00062222222590612,0.996666663222843,0.000177777786221769,930.873562282986,0.604149580001831,608.614318847656,0.385453565253152,0.0616302562670575,28.1638124254015,22.1367783016629,-4.57894383536445,-8.69708156585693,17.6036118401421,17.5985692342122,0,196.882642957899,6.0957395500607,0,0.753086434470283,0,110.680193583171,0.777777791023254,237.361551920573,48.8376434114244,4.25484969880846,250,15.9830601480272,5.1633129119873,0,12.9629633161757,262.79315355089,0.0177452637581155,4.1073399649726,0.0177133277369042,0.777422176467048,1.53840492831336,1.56520658069187,3.83253815439012,NA,1.01915555183465,NA
"98A Dry Loam Plains",2489.61030927835,4.12371153607196e-05,0.16362726794455,0.014207117803774,0.217078552690344,0.235126655149638,0.137525793191447,0.0295873254157732,0.00101933387629016,0.0232889305847606,0.0809121117384663,0.755748149030602,0.00209125774842327,0.0913025980896902,0.0109439784593126,0.118000109376717,0.0770721991368229,0.00887629984270124,0.0252569070426728,0.287918115629948,0.556311863664833,0.000347283015810145,0.0360312141826708,0.000102268043694269,913.126733650129,0.603104581537935,599.42406572165,0.386175276016452,0.0665715013837115,27.9257389186584,21.9426573881169,-4.75094243029958,-8.84864614526021,17.4048155873092,17.4057290067378,0.0064653042050981,118.98954912166,15.298573698211,0,0.01788357780459,0.067464996217606,22.6552083516858,0.0431271487789363,159.292001014395,1.81609405515735,6.15463251772615,250,61.394294172464,56.911506287093,0.0085271598752012,225.260493484969,275.682503517387,0.0363456668514643,3.19593341074039,0.0273600145137494,0.782869623862591,1.5495824101045,1.54519685224159,3.83749739361792,NA,0.991916150559153,NA
"98A Dry Loam Slopes",3164.66666666667,0.000133333339666327,0.160366666813691,0.00671555575293799,0.168769049147765,0.101874873042107,0.107248891144991,0.047822222734491,0.0014666667363296,0.0757478773593903,0.102020462354024,0.907609124978383,0.000986666709650308,0.0606533338626226,0.0292822207168986,0.2594868739446,0.00133333339666327,0.00133333331905305,0.000266666679332654,0.248658895492554,0.639333325360591,0.00106666671733061,0.00960000006792446,0,894.201375325521,0.604973534742991,582.872497558594,0.406894564628601,0.092162790397803,27.6637859344482,21.6962960561117,-4.92530504862467,-8.88339042663574,17.0282885233561,17.0298302968343,0,110.822611490885,15.6167990366618,0,0,0,18.7619825998942,0,120.2481396993,0.502383053302765,6.337464650472,250,61.7083015441895,60.5691947937012,0,250,252.044504801432,0.193090185523033,4.73798251152039,0.0689581496020158,0.6777596672376,1.47695004940033,1.48059944311778,3.64177346229553,NA,0.901592221033449,NA
"98A Dry Sand Plains",630,0,0.125640451908112,0.00600000005215406,0.00734666688367724,0.239398777484894,0.0894994586706161,0.00768000027164817,0.000400000018998981,0.351717233657837,0.0557657144963741,0.727090299129486,0,0.0491299517452717,0.0428418591618538,0.0511076897382736,0,0,0.000400000018998981,0.0624000020325184,0.877600014209747,0.0291999988257885,0.0052000000141561,0,958.139465332031,0.613952457904816,602.468933105469,0.418534606695175,0.0752638056874275,28.1356086730957,21.8388633728027,-4.69759225845337,-8.75375080108643,17.2512531280518,17.2523517608643,0,250,1.07000005245209,0,0,0,20,0,250,0.993333339691162,4.80000019073486,250,96.7699966430664,93.8000030517578,0,250,232.729751586914,0.00792230200022459,0.664020299911499,0.0128133893013,0.784201323986053,1.56250190734863,1.56287729740143,3.82442235946655,NA,0.974800015101209,NA
"98A Euic Moist Sand Plains",2236.4,0.000360000017099082,0.295207465440035,0.106542298384011,0.0947256561368704,0.324309299886227,0.308059173822403,0.0686196180060506,0.00220000005792826,0.122812000662088,0.110558101534843,0.438242909684777,0.033093713177368,0.121672858670354,0.111233608983457,0.271451002731919,0.304560002428479,0.0102000000420958,0.105919999885373,0.286837299028411,0.100240000011399,0.000240000011399388,0.184239999204874,0.00020000000949949,897.029522705078,0.599517494440079,596.516986083984,0.389204096794128,0.0846888767555356,27.8808378219604,21.7733938217163,-4.91072278022766,-9.06197338104248,17.2275575637817,17.232310295105,0,211.305263519287,7.41462559700012,0,0,0.0222222223877907,23.882932472229,0.0555555567145348,230.659064483643,0.657872819900513,6.33209004402161,250,86.7688842773437,86.6900672912598,0,45.131579208374,253.201429748535,0.0315933979349211,3.31630222797394,0.0168407749384642,0.775053757429123,1.55001929998398,1.5531938791275,3.80395193099976,NA,0.992437300621532,NA
"98A Euic Muck Plains",2505.73626373626,0.000210989018451873,0.0930315698343483,0.0502535275690217,0.058854550133449,0.0550968897948553,0.281634534166737,0.529803726535577,0.0153841075390209,0.0348032016977463,0.161438968789938,0.530876641008225,0.0177573164314758,0.0528099914260495,0.00903223677612534,0.257214611559943,0.00245714288941779,0.0150989011687401,0.000250549459891332,0.0128395604481409,0.0906176924133663,0.00113846157974267,0.857454770334208,0.0238461538785966,894.820229331216,0.598964423923702,597.91885141226,0.381277041120844,0.0755688759529001,27.8670383914486,21.8378816332136,-4.79555768233079,-8.91039127307934,17.3028698177128,17.2977256565304,0,180.656465928633,6.35573617377124,0,0.871220290660858,0.0298786182979961,148.39899121798,0.894993901252747,225.367972656921,55.92336668287,6.01160154237852,250,21.7353509599036,9.30420212693267,0,20.09895832853,270.440912435343,0.017980610050522,3.26998717706282,0.0242486873892351,0.786202124841921,1.54565638238257,1.56284095428802,3.85209223464295,NA,1.0037032321721,NA
"98A Euic Wet Sand Plains",2455.92857142857,0.000457142878855978,0.181247896348525,0.0631557729793712,0.108765138579266,0.177139913621691,0.363240538431065,0.194696426075617,0.00519999999752534,0.0600736896865003,0.19666414574853,0.513856074373637,0.00497428572271019,0.112890208048546,0.0347446757701359,0.264998833914953,0.210914286385689,0.072714014749051,0.00302857153915933,0.129285184666514,0.146542857168242,0.000428571448927479,0.413714286738208,0.00822857160320772,937.674133300781,0.605210976941245,610.06893484933,0.382250015224729,0.0516908476960712,28.1533595493862,22.0790931156703,-4.76489523478917,-8.96655184882028,17.5649949482509,17.5639681134905,0.00852130353450775,113.613565172468,6.86457278047289,0,0,0.753968260117939,30.1570329666138,0.888888895511627,237.344271523612,1.49959539089884,6.38063669204712,250,84.2845434461321,79.1962852478027,0.00852130353450775,34.3441938672747,239.093259538923,0.0081573184912226,3.28640925884247,0.00982599238133324,0.784507589680808,1.56165061678205,1.56442301613944,3.83984122957502,NA,0.984856344299,NA
"98A Moist Floodplain Plains",2580.94444444444,0.000155555562944048,0.310224981771575,0.0695556562083463,0.0744977098786169,0.343996643192238,0.334840771224764,0.125058724234502,0.00404444448132482,0.0944466670690518,0.127665037082301,0.454024983363019,0.00940666669177719,0.162659135957559,0.0480557754360941,0.341512036820253,0.275188596311232,0.124177778902878,0.00306666676058537,0.259864918680655,0.000244444456054933,6.66666698331634e-05,0.322977780092818,0.000111111116388606,887.880381266276,0.600191222296821,590.225318060981,0.39856366150909,0.0972477613637845,27.8341478771634,21.6611570782132,-4.97566596666972,-9.03414318296644,17.037674691942,17.0405429204305,0,152.772149191962,12.5738033122487,0.512345686140988,0.0432098768651485,0.346496009992229,31.015495830112,0.192901237143411,207.300471199883,2.78488124658664,6.29247838258743,250,55.9403031931983,55.0980307261149,0,97.1257719463772,229.720696343316,0.0463818691205233,3.28441762924194,0.0308838739163346,0.778389536672168,1.53350906901889,1.54788228538301,3.84207338756985,NA,0.985697962990445,NA
"98A Moist Loam Plains",2423.42380952381,0.000104761907520394,0.359078667714216,0.0344316065438934,0.149796259312314,0.463146797929048,0.332587883177967,0.0659514135013091,0.00171517590726061,0.0207810286690974,0.0957269057653667,0.404082701803141,0.00547524277783287,0.225120674151306,0.0235964039086996,0.285777277614744,0.405538500744539,0.161753712317676,0.0246114288046513,0.200342911479293,0.0837771134905606,0.000171428577353557,0.112134507402828,0.000201904763733702,879.722854178292,0.596383119764782,593.967844063895,0.381915359411921,0.085885278657744,27.7917017891293,21.7169159298851,-4.97918430055891,-9.11342854726882,17.1647825150263,17.1655140377226,0,106.150450588408,19.2863031898226,0,0.0151506788319065,0.0601851858553432,23.6523540667125,0.0834656095930508,105.373008561134,1.54947820749311,5.91722381058193,250,42.9932726269677,42.6476242383321,0.00105820106608527,56.2192634219215,262.20506199428,0.016597466247817,3.19331874748071,0.0174010078688817,0.78532910886265,1.55787128039769,1.55902403082166,3.84274699120294,NA,0.988531507580635,NA
"98A Rich Sand Plains",2429.24285714286,2.28571439427989e-05,0.093248436974162,0.0106732278977038,0.183588822295756,0.123260438421858,0.0704143100002381,0.012089536691097,0.000734285730868578,0.0533819146108207,0.0638334406755998,0.893096372485161,0.000933761915283477,0.0535642164177261,0.00562003158276119,0.0707493973326304,0.0278685713369798,0.000115591841417232,0.007388571435253,0.110849430574724,0.838340631884057,0.00160369088979288,0.0166563823232926,0.000151428576957967,934.183676583426,0.606283937607493,605.258223615374,0.391569556082998,0.0626595622693588,28.1011636052813,22.0675959859576,-4.61562724624361,-8.71479387964521,17.5213865007673,17.5286036763872,0,192.68071850368,6.46062521083014,0,0,0.0190476195620639,18.21582165105,0.012698413005897,247.072707584926,0.496924190436091,6.09794956956591,250,85.8852351597377,84.0308470589774,0.00634920639651162,242.202380698068,264.85740737915,0.0364120743370482,3.36795019528696,0.0301723440443831,0.78504549903529,1.54982152836663,1.5430536704404,3.83885595117296,NA,1.00297429886247,NA
"98A Rich Sand Slopes",361,0,0.0368510521948338,0.00176000001374632,0.0126866670325398,0.0532333329319954,0.00936000049114227,0.00304000009782612,0,0.0723446682095528,0.103842221200466,0.978343725204468,0.000266666669631377,0.00963999982923269,0.00453333323821425,0.0307533331215382,0,0,0,0.000800000037997961,0.999199986457825,0.00640000030398369,0.000400000018998981,0,929.130981445312,0.612400770187378,588.063171386719,0.423159837722778,0.0886013060808182,27.9405498504639,21.8003234863281,-4.79320764541626,-8.76043319702148,17.0538444519043,17.0440311431885,0,250,2.91000008583069,0,0,0,14.375,0,250,0.369666665792465,5.82200002670288,250,95.6240005493164,94.7839965820312,0,250,232.411254882812,0.157455310225487,1.33638870716095,0.0670535266399384,0.875778257846832,1.49552309513092,1.48350501060486,3.70246410369873,NA,1.00679998681881,NA
"98A Wet Floodplain Plains",2664.66666666667,0.0016133333556354,0.332157219201326,0.0576575922779739,0.110640863887966,0.239622062289466,0.551188991467158,0.198735086868207,0.00830666678957641,0.047197206170919,0.146591592207551,0.321928393592437,0.0375459999947149,0.184532716870308,0.0267620740303149,0.45658788283666,0.195093335560523,0.561116452786761,0.000573333352804184,0.0317191726372888,0.000120000005699694,0.000173333341566225,0.141692541174901,0.043173332993562,894.78510538737,0.599573030074437,596.441339111328,0.38964054385821,0.0857638040557504,27.9133831659953,21.7167320887248,-4.9762751420339,-9.11188678741455,17.1319073359172,17.1317632039388,0,163.217337608337,14.6975543181101,0.829629636804263,0.0888888890544573,0.729629636059205,47.2693518320719,0.881481488545736,206.229229736328,5.37855288982391,6.90610597928365,250,53.3586411158244,50.3419778347015,0,29.6296297709147,251.982455444336,0.016652870028823,3.1747449974219,0.0192901321531584,0.783350475629171,1.54742629528046,1.56322835286458,3.83096937338511,NA,0.973661501853106,NA
"98A Wet Loam Plains",2399.41304347826,0.00023478261731646,0.334726252228669,0.0479761884363024,0.125505177466118,0.336719076250396,0.523302354728398,0.188060941265734,0.00169130441803566,0.0163763473868565,0.137636561473103,0.315857328636491,0.00725156760634728,0.265445928393013,0.0140925411991623,0.449644234193408,0.24047063878211,0.540442579408156,0.000165217399151753,0.0266631910429999,0.0221520264926569,9.5652178456278e-05,0.157938628986417,0.0108999995863996,893.802361529806,0.5994783192873,595.850970724355,0.384879893906738,0.0784858533221742,27.863466532334,21.775288125743,-4.93494067503058,-9.06415759998819,17.2147491703863,17.2148353949837,0,95.9122276306152,19.3453071298807,0,0.0267711002379656,0.570740982890129,28.2354020865067,0.860809186878412,80.6697117453036,4.31663591511871,6.4760843463566,250,45.9198134049125,41.3803767432337,0,34.5943291809248,260.066092449686,0.0147390812255807,3.14642853840538,0.0151924749724972,0.785822493226632,1.5557240480962,1.56306481102239,3.84688645601273,NA,0.998827933876347,NA
"98A2 Acidic Peat Plains",1488,0.0058000001590699,0.328482061624527,0.235817693173885,0.00723333342466503,0.25250630825758,0.383109107613564,0.762287259101868,0.144585184752941,0.504903644323349,0.0987999960780144,0.056409165263176,0.294747039675713,0.150475610047579,0.358073338866234,0.183404959738255,0.00680000009015203,0,0.00300000002607703,0,0,0.00160000007599592,0.0020000000949949,0.990200012922287,870.673004150391,0.601771473884583,576.162719726562,0.406067356467247,0.102622799575329,27.6040258407593,20.7542095184326,-6.1755645275116,-10.6066551208496,16.0157122612,16.0434927940369,0,250,0.328518509864807,0,0.944444447755814,0,143.972221374512,0.944444447755814,250,84.9410171508789,4.20222210884094,250,5.12388849258423,5.11666679382324,0.0555555559694767,5.55555534362793,292.324920654297,0.0124700451269746,3.12727034091949,0.0175913288258016,0.794418662786484,1.55281615257263,1.56692707538605,3.87090289592743,NA,1.00360001320951,NA
